% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
BACD2	2.53932550E+000	-8.72078830E-003	1.59095660E-002	8.81630360E-005	2.58765930E-005	-1.17335230E-006
BACD4	2.55846210E+000	-9.74572830E-003	1.51104950E-002	2.32733330E-004	1.11372490E-006	1.64247670E-007
BACD11	2.40951630E+000	-9.19044150E-003	1.29399680E-002	2.34614300E-004	-1.11305890E-005	1.01318630E-006
BACD15	2.58648320E+000	-8.03578290E-003	1.80805730E-002	-4.59741720E-004	8.84843210E-005	-3.75447650E-006
BAF10	2.73246210E+000	-1.24904600E-002	1.85623340E-002	9.99905360E-004	-6.83885520E-005	4.92579310E-006
BAF11	2.72729550E+000	-1.34702360E-002	1.48092710E-002	1.96153350E-003	-1.97876630E-004	1.08511170E-005
E-ADF10	2.55289830E+000	-1.57093640E-002	1.56476880E-002	1.44616410E-003	-1.44588790E-004	9.52757330E-006
E-ADF50	2.66804220E+000	-1.31842580E-002	2.39304790E-002	2.39286550E-004	5.06979410E-005	9.12409580E-007
E-BACD10	2.59063260E+000	-1.06089940E-002	1.44909160E-002	6.75422470E-004	-5.53031160E-005	3.00613640E-006
E-BACED20	2.66675370E+000	-9.73192590E-003	1.74362840E-002	4.75580150E-004	-1.71449890E-005	1.10495890E-006
E-BAF8	2.58011210E+000	-7.97179450E-003	1.97280540E-002	1.38760760E-004	3.76320710E-005	-7.46347170E-007
E-F1	2.57305650E+000	-1.02036050E-002	2.30957840E-002	8.71142520E-004	-3.07300790E-005	6.94579860E-006
E-F3	2.53626970E+000	-1.06104240E-002	2.12338210E-002	9.90121050E-004	-5.99843480E-005	8.23543660E-006
E-F8	2.48665610E+000	-1.01884840E-002	1.92874170E-002	8.85537370E-004	-5.09371060E-005	6.42569560E-006
E-FD7	2.61658650E+000	-1.14278540E-002	2.25343610E-002	1.55128900E-003	-1.17698520E-004	1.24018910E-005
E-FEL6	2.30689460E+000	-9.68887550E-003	1.30970200E-002	6.50139270E-004	-4.23282220E-005	3.58887770E-006
E-LAF7	2.97041780E+000	-1.32906790E-002	2.83590060E-002	1.76617860E-003	-1.24534820E-004	1.39519370E-005
FCD10A	2.10858880E+000	-4.65537220E-003	6.95474800E-003	3.21841410E-005	5.26709460E-006	-2.71648440E-007
FCD10	2.10324900E+000	-5.02479880E-003	6.53230770E-003	1.30784050E-004	-6.36520720E-006	1.92547450E-007
LAC7	2.68762230E+000	-1.43751870E-002	1.25459540E-002	1.46422950E-003	-1.69824610E-004	8.80486390E-006
LAC9	2.80815230E+000	-1.41678850E-002	1.76937070E-002	7.67887590E-004	-7.48861740E-005	4.70447560E-006
LAC10	2.89519980E+000	-1.17012180E-002	2.21264850E-002	3.84947910E-004	-7.98083020E-006	1.50351160E-006
LAC12	2.76348440E+000	-1.10683390E-002	1.82464420E-002	3.76973560E-004	-1.77886550E-005	1.53142620E-006
LAC13	2.81253160E+000	-1.29152710E-002	1.99603390E-002	1.98778880E-004	1.76470610E-005	-4.47676320E-007
LACL60	2.64908840E+000	-1.41598690E-002	1.44511350E-002	5.27078730E-004	-4.34475230E-005	2.46129710E-006
LAF3	2.87897990E+000	-8.72923700E-003	2.44256560E-002	4.54917730E-005	4.28029280E-005	-7.28343060E-007
LBC3N	2.53884840E+000	-6.68558650E-003	1.51114560E-002	-1.52472410E-004	4.83401160E-005	-2.40617850E-006
NBFD12	3.15136550E+000	-1.30520150E-002	2.95021110E-002	6.76434370E-004	3.66797010E-006	1.82332930E-006
TAC2	2.97171370E+000	-1.49525930E-002	2.01628680E-002	9.40722830E-004	-8.86141040E-005	5.31912420E-006
TAC4	2.94256450E+000	-1.32665540E-002	2.35592230E-002	-1.63990090E-004	9.23707590E-005	-4.86159820E-006
TAC6	3.01821840E+000	-1.53816330E-002	2.15201370E-002	6.46083030E-004	-3.23557480E-005	2.07915930E-006
TAF2	3.14155640E+000	-1.43703040E-002	2.64830510E-002	9.56427140E-004	-5.94110870E-005	4.70395300E-006
TAF4	3.12122810E+000	-1.41199090E-002	2.65206220E-002	4.04157630E-004	1.42606340E-005	3.16425600E-007
TAF5	3.21915710E+000	-1.53105620E-002	2.63625700E-002	1.05344520E-003	-6.16604120E-005	3.97338970E-006
M-FCD1	2.21890680E+000	-6.17070650E-003	8.08876310E-003	1.33577820E-004	1.94761860E-007	-2.25778040E-007
MP-FCD1-M20	2.22094180E+000	-7.48303720E-003	6.24633920E-003	7.11577590E-004	-8.22742540E-005	4.04305460E-006
MC-FCD1-M20	2.22094180E+000	-7.48303720E-003	6.24633920E-003	7.11577590E-004	-8.22742540E-005	4.04305460E-006
M-FCD500	2.38415540E+000	-7.80844230E-003	9.71308830E-003	4.99598890E-004	-4.73032240E-005	2.32054410E-006
MP-FCD500-20	2.38504270E+000	-7.91426900E-003	9.48868520E-003	5.79800930E-004	-6.00116770E-005	3.03554220E-006
MC-FCD500-20	2.38504270E+000	-7.91426900E-003	9.48868520E-003	5.79800930E-004	-6.00116770E-005	3.03554220E-006
